is_holiday,air_pollution_index,temperature,rain_p_h,visibility_in_miles,traffic_condition
1,74.6,34.78,1.4,4.66,2
0,45.08,29.19,1.07,2.72,2
1,55.26,29.86,0.97,3.64,2
1,61.76,30.09,1.61,3.12,2
1,75.08,31.22,0.51,3.62,2
0,73.25,31.5,1.86,3.77,2
1,64.23,29.66,0.98,4.41,2
0,55.41,30.29,1.45,2.01,2
1,56.78,34.03,1.86,2.59,2
0,48.9,27.19,0.96,3.42,2
1,72.97,34.93,0.87,2.98,2
1,79.22,29.46,1.15,2.49,2
0,48.98,29.85,1.5,4.33,2
0,75.88,33.95,1.28,3.23,2
1,69.48,28.33,1.22,4.82,2
1,55.37,32.97,0.68,4.95,2
0,31.73,34.4,1.38,2.26,2
1,51.31,30.69,0.81,2.69,2
0,70.12,32.39,0.77,3.09,2
1,74.88,27.19,1.99,3.61,2
1,37.87,32.85,0.95,2.25,2
1,49.53,32.74,1.37,4.84,2
0,61.89,34.89,1.57,2.52,2
0,67.4,31.61,1.84,2.16,2
0,39.36,25.5,1.14,4.49,2
1,45.66,33.82,1.18,2.46,2
0,63.96,27.49,0.88,4.2,2
1,30.59,28.08,1.13,3.94,2
1,51.19,32.54,1.32,4.8,2
1,46.39,33.2,1.52,2.53,2
1,41.67,25.46,1.48,2.77,2
1,76.18,32.48,1.53,4.24,2
0,43.99,26.16,1.25,4.14,2
1,72.0,34.13,0.76,4.88,2
1,79.33,26.8,1.33,4.35,2
0,34.15,31.83,0.62,4.34,2
1,66.19,28.2,1.54,3.61,2
1,56.33,30.72,1.9,2.65,2
1,34.85,32.3,0.95,2.42,2
1,32.56,27.02,1.44,2.55,2
0,73.76,31.02,1.19,4.56,2
0,74.64,31.62,0.98,2.12,2
0,45.44,29.19,0.94,2.29,2
0,56.33,31.57,0.92,4.68,2
1,36.36,25.77,1.87,4.54,2
1,43.91,34.71,0.75,4.93,2
1,53.86,32.31,0.96,4.89,2
1,44.69,33.0,0.69,3.31,2
1,62.65,28.21,1.83,3.25,2
1,48.07,29.27,0.56,4.0,2
1,55.53,32.71,1.58,3.49,2
0,67.05,32.96,0.82,3.37,2
1,47.76,26.39,1.95,4.31,2
1,31.59,30.36,0.57,2.58,2
1,60.48,27.94,1.3,4.44,2
1,54.07,31.18,1.31,2.8,2
1,73.45,31.6,0.82,3.18,2
0,77.04,33.08,1.52,4.39,2
1,37.3,28.0,1.12,4.86,2
0,32.61,26.69,1.81,4.13,2
0,73.69,34.18,0.63,4.52,2
1,67.13,30.31,0.7,2.29,2
1,41.47,32.24,1.31,2.96,2
0,78.31,25.34,1.28,2.23,2
1,30.96,32.72,1.85,2.2,2
1,72.82,34.07,1.36,4.43,2
0,37.36,25.63,1.1,3.8,2
0,32.74,32.17,0.66,2.85,2
0,54.3,26.21,1.77,3.14,2
0,32.63,28.5,1.4,3.38,2
1,48.49,26.92,1.7,4.39,2
0,41.45,33.51,1.11,3.0,2
0,38.55,31.52,1.29,2.22,2
1,66.45,34.17,1.63,3.13,2
1,46.6,25.14,1.06,4.58,2
1,37.91,29.77,0.96,2.84,2
0,67.04,30.31,1.16,2.34,2
1,72.51,27.06,1.42,2.12,2
1,68.45,32.05,1.93,3.9,2
1,70.43,30.98,1.46,2.72,2
0,57.87,29.74,0.97,3.22,2
1,49.68,27.31,0.86,3.84,2
1,45.79,29.87,1.07,4.42,2
1,66.87,34.23,1.28,4.26,2
1,36.41,32.84,1.51,3.8,2
0,66.59,30.98,1.44,4.63,2
0,44.64,29.44,1.63,4.5,2
1,60.1,27.82,1.77,4.82,2
0,65.21,28.85,0.87,3.82,2
0,53.71,33.06,1.11,2.5,2
1,74.45,34.54,1.26,2.97,2
0,74.5,33.54,1.48,2.08,2
0,79.65,30.58,1.09,2.6,2
0,56.93,31.43,1.18,4.68,2
1,51.2,26.21,0.64,3.51,2
1,60.12,33.18,1.45,3.0,2
1,61.69,26.9,1.9,2.11,2
1,71.15,32.14,1.55,2.55,2
1,73.88,34.23,0.83,3.55,2
1,59.62,30.36,1.99,2.01,2
0,78.2,26.76,0.63,2.11,2
0,51.31,33.21,0.51,3.19,2
0,62.21,26.76,0.75,2.56,2
1,68.49,28.11,1.79,2.44,2
1,72.58,28.69,0.98,4.75,2
1,30.94,34.67,1.29,2.28,2
1,50.74,28.93,1.71,2.88,2
0,69.99,33.57,1.48,2.94,2
1,62.66,32.4,0.96,4.5,2
1,67.66,28.33,1.9,3.24,2
1,66.57,33.64,1.62,3.67,2
1,69.54,33.91,0.76,3.46,2
1,71.51,25.6,0.92,2.44,2
1,62.85,29.03,1.14,4.56,2
0,42.46,32.7,1.62,2.22,2
0,46.1,34.15,0.97,3.71,2
0,44.81,26.13,1.5,3.35,2
0,56.65,28.52,1.05,2.44,2
0,71.14,31.93,1.43,4.9,2
1,46.44,30.05,0.75,2.57,2
0,44.31,27.17,0.71,3.5,2
0,45.66,33.84,0.65,2.48,2
0,51.59,26.14,1.52,4.6,2
1,66.7,32.42,1.43,4.42,2
0,79.8,29.89,1.37,2.19,2
0,36.16,25.27,0.7,2.22,2
1,77.79,32.91,0.6,2.01,2
0,65.62,27.46,0.5,4.38,2
1,34.09,29.12,1.01,3.21,2
1,36.9,27.01,1.62,4.11,2
0,42.51,34.07,1.83,2.28,2
1,65.19,29.94,1.31,3.91,2
0,37.89,29.45,1.84,2.49,2
0,36.15,28.79,1.37,4.88,2
1,55.81,33.77,0.62,3.13,2
0,44.62,32.6,1.7,2.12,2
1,63.46,28.88,1.5,2.48,2
0,66.83,29.44,1.56,2.86,2
0,43.77,31.8,1.33,2.35,2
0,65.25,27.16,0.63,2.07,2
0,62.54,30.46,1.17,3.44,2
1,38.36,33.72,0.82,2.07,2
1,58.02,27.9,1.37,4.37,2
1,35.41,33.35,1.93,2.74,2
1,70.62,30.36,0.8,4.69,2
1,63.26,29.0,0.94,4.14,2
0,51.1,27.58,1.86,3.68,2
1,33.98,29.87,1.95,3.97,2
0,77.12,25.95,1.44,2.41,2
0,77.48,31.96,1.56,3.07,2
0,40.97,27.64,0.95,4.09,2
0,64.25,31.9,1.31,2.05,2
0,70.33,27.13,1.64,3.08,2
1,79.96,34.44,1.45,2.1,2
1,46.65,33.99,1.99,2.78,2
1,52.53,28.19,0.53,2.07,2
1,75.95,34.87,0.88,2.29,2
1,31.14,25.6,1.11,2.66,2
1,75.16,27.16,0.57,2.51,2
0,60.07,29.43,1.58,3.82,2
1,57.58,32.36,0.77,2.4,2
1,68.29,32.69,1.13,4.24,2
1,46.24,31.02,1.78,2.57,2
0,65.06,30.76,0.8,3.8,2
0,44.05,32.15,1.4,2.4,2
1,52.57,34.72,1.64,3.96,2
1,62.76,33.99,1.82,4.23,2
0,36.89,27.34,1.38,3.3,2
1,37.84,28.93,0.54,2.95,2
1,33.34,28.2,1.52,4.21,2
0,37.48,34.54,1.66,3.55,2
1,76.26,28.05,1.47,4.52,2
0,54.67,30.46,1.64,3.32,2
1,79.08,28.36,1.32,3.79,2
0,59.02,26.21,1.84,3.69,2
0,48.72,30.93,0.62,4.85,2
1,35.07,27.87,1.41,4.33,2
0,38.25,34.0,1.06,4.88,2
0,79.57,34.41,1.11,3.97,2
0,48.64,33.8,0.78,2.28,2
0,77.28,25.64,0.9,3.22,2
0,54.24,27.54,1.72,4.02,2
0,73.33,27.44,1.56,3.74,2
1,57.35,34.88,0.75,3.58,2
1,51.76,28.64,0.68,4.77,2
1,51.03,27.95,1.41,4.77,2
1,44.24,32.83,1.66,3.55,2
0,76.7,34.16,0.66,4.97,2
0,66.58,29.29,1.29,4.2,2
0,58.67,26.94,1.8,3.8,2
1,56.96,26.71,1.89,3.42,2
1,38.81,26.33,1.23,2.04,2
0,52.97,31.02,1.56,4.94,2
0,46.16,34.35,1.58,2.63,2
1,63.76,27.29,0.89,3.32,2
0,68.51,29.83,1.54,4.13,2
1,46.38,29.19,1.46,4.53,2
1,73.48,32.88,0.63,3.53,2
1,37.62,33.33,1.8,4.71,2
0,44.02,29.12,1.78,4.13,2
1,56.14,32.67,1.13,3.12,2
1,67.76,28.91,1.18,4.01,2
1,35.4,26.32,0.63,4.01,2
0,30.07,33.63,1.25,3.3,2
0,60.93,29.64,1.37,3.07,2
1,59.71,33.37,1.43,3.0,2
1,68.74,28.36,1.26,4.67,2
0,78.29,34.72,1.32,2.65,2
0,47.46,27.08,0.55,4.69,2
1,51.05,31.23,1.99,2.52,2
0,68.25,29.22,1.64,3.26,2
1,71.55,31.39,0.55,4.25,2
0,76.31,26.49,0.93,2.15,2
0,53.6,30.1,0.74,2.11,2
1,49.13,25.51,1.9,3.15,2
0,65.77,31.56,1.15,2.54,2
0,61.16,28.14,0.94,3.94,2
1,52.51,32.12,1.25,4.82,2
0,68.04,29.32,1.61,3.3,2
0,54.44,30.49,0.61,2.91,2
0,63.48,29.8,1.23,4.48,2
0,41.3,31.01,0.6,3.7,2
1,75.47,30.98,1.46,4.83,2
1,50.84,26.61,1.12,3.97,2
1,57.14,27.49,1.12,3.29,2
0,68.89,26.31,1.17,2.5,2
0,64.33,34.12,1.86,2.87,2
0,66.33,31.03,1.08,3.29,2
1,73.41,26.75,0.95,3.65,2
0,75.34,25.71,1.39,3.06,2
0,65.15,28.4,1.59,4.03,2
1,67.06,27.02,1.85,2.42,2
0,57.89,32.98,0.59,4.11,2
0,62.49,26.22,0.54,4.69,2
0,63.76,33.59,1.3,4.94,2
1,30.93,34.31,1.26,3.96,2
1,78.38,28.53,1.16,4.7,2
1,34.44,31.98,1.34,4.7,2
0,42.7,27.73,1.33,4.15,2
1,40.76,30.2,0.64,4.6,2
1,30.4,33.7,0.67,4.1,2
0,73.9,25.69,0.67,4.37,2
0,54.66,31.93,1.3,4.31,2
0,63.92,34.39,1.14,2.89,2
1,55.95,28.04,0.51,2.61,2
1,61.23,28.59,1.28,4.17,2
0,63.8,30.7,1.98,3.65,2
1,47.83,25.93,0.53,2.46,2
0,44.29,27.46,1.01,2.64,2
1,31.71,30.62,0.78,3.05,2
0,40.72,31.77,0.65,3.75,2
1,52.52,31.38,1.3,3.46,2
1,74.31,31.11,1.52,4.54,2
1,77.69,27.31,0.64,3.35,2
0,64.23,31.19,1.41,3.54,2
0,76.79,31.21,1.37,3.62,2
1,47.89,25.62,0.83,3.72,2
1,75.35,32.8,1.34,4.21,2
1,31.19,34.2,0.82,3.23,2
1,59.48,25.94,0.51,3.27,2
0,45.51,34.64,1.22,4.02,2
0,76.65,28.14,0.84,3.73,2
0,33.9,27.16,1.12,4.06,2
1,30.71,31.22,1.51,3.63,2
1,66.85,32.45,1.42,2.19,2
1,75.62,29.39,1.33,2.23,2
1,45.99,29.71,1.54,2.88,2
0,56.27,25.71,0.66,3.35,2
1,64.6,30.69,1.21,3.78,2
0,47.49,25.14,1.29,3.02,2
1,40.96,31.12,0.93,3.68,2
0,31.69,28.42,1.84,2.11,2
1,38.83,26.25,1.95,4.48,2
1,51.28,28.78,1.58,4.08,2
0,74.24,29.13,1.91,4.18,2
1,50.74,25.37,1.75,4.03,2
0,44.42,34.19,0.75,2.46,2
1,46.86,28.4,1.14,3.44,2
1,58.69,30.19,1.05,3.21,2
0,60.49,32.19,1.33,2.57,2
0,32.35,29.38,1.14,3.29,2
1,40.05,26.16,1.36,3.46,2
0,45.43,34.51,0.87,3.29,2
1,66.61,30.25,1.79,2.44,2
1,49.36,32.48,1.66,4.38,2
0,62.69,31.49,1.78,4.65,2
0,50.14,29.79,1.28,4.19,2
0,56.99,32.17,1.97,4.76,2
1,39.97,32.95,1.28,3.68,2
0,58.84,34.79,0.71,3.09,2
1,45.7,32.98,1.2,2.27,2
1,64.26,28.55,0.91,2.44,2
0,44.85,31.28,0.81,3.62,2
1,55.25,33.62,1.27,3.2,2
0,79.7,30.0,1.36,4.1,2
0,50.32,26.25,1.95,3.2,2
1,58.17,25.11,0.53,3.4,2
0,79.03,31.01,0.88,2.2,2
0,53.78,25.52,0.66,2.31,2
0,61.09,29.55,0.56,2.02,2
1,63.92,32.64,1.17,4.02,2
0,79.62,29.7,0.53,2.44,2
0,52.73,32.07,0.63,3.54,2
0,64.39,31.91,1.07,4.11,2
0,41.36,29.68,1.16,3.1,2
